logFC	AveExpr	t	P.Value	adj.P.Val	B	status	comparison	Proteins
0.121473436	-0.144196357	0.605295161	0.565053373	0.789196611	-6.823537973	No Change	ip.B.minus.AL-ip.B.plus.AL	A0JNU3
2.941782461	1.280574944	6.840289327	0.000306584	0.00804273	0.742392545	No Change	ip.B.minus.AL-ip.B.plus.AL	A1L314
-0.120672955	-1.462207367	-0.463395696	0.657860384	0.846527504	-6.906440345	No Change	ip.B.minus.AL-ip.B.plus.AL	A2A432
-0.810599964	-0.897320494	-1.732251474	0.129074307	0.421500548	-5.615857271	No Change	ip.B.minus.AL-ip.B.plus.AL	A2A4P0
-0.342060909	-0.768393147	-1.001270277	0.351720769	0.651112446	-6.494390935	No Change	ip.B.minus.AL-ip.B.plus.AL	A2A5R2
-0.612800213	0.072219467	-3.501001961	0.010836381	0.108347992	-3.084086709	No Change	ip.B.minus.AL-ip.B.plus.AL	A2A690
-0.29809288	-0.214741666	-0.385167577	0.712132639	0.87576842	-6.943312318	No Change	ip.B.minus.AL-ip.B.plus.AL	A2A699
-1.059500334	1.363390318	-2.435601594	0.046835922	0.256418249	-4.614174208	No Change	ip.B.minus.AL-ip.B.plus.AL	A2A6A1
0.497140768	1.575411401	1.485605113	0.18316679	0.495461827	-5.940612137	No Change	ip.B.minus.AL-ip.B.plus.AL	A2A8L5
0.96697033	0.499441264	4.053853517	0.005395646	0.068066779	-2.338795089	No Change	ip.B.minus.AL-ip.B.plus.AL	A2A8Z1
4.870509638	2.927162123	11.05694394	1.59E-05	0.001675188	3.80561671	No Change	ip.B.minus.AL-ip.B.plus.AL	A2A9C3
-0.400877244	2.656856614	-0.920123398	0.389659146	0.677305991	-6.572435666	No Change	ip.B.minus.AL-ip.B.plus.AL	A2A9Q0
5.254473837	3.854265227	10.51907424	2.18E-05	0.00174974	3.490102266	No Change	ip.B.minus.AL-ip.B.plus.AL	A2AAJ9
-0.334559323	-1.740264506	-1.486883849	0.182838681	0.49517337	-5.938987771	No Change	ip.B.minus.AL-ip.B.plus.AL	A2ADY9
-0.772353389	-0.430577676	-1.52441314	0.173446023	0.48309549	-5.891011145	No Change	ip.B.minus.AL-ip.B.plus.AL	A2AF47
-1.206225163	2.506536917	-1.274310631	0.245265529	0.558126445	-6.198548449	No Change	ip.B.minus.AL-ip.B.plus.AL	A2AF53;Q8R3R5
-0.003680013	4.704404049	-0.006753581	0.994809529	0.998300757	-7.027019073	No Change	ip.B.minus.AL-ip.B.plus.AL	A2AFS3
-0.185740727	-0.635537172	-0.673124241	0.523557837	0.765718064	-6.776940902	No Change	ip.B.minus.AL-ip.B.plus.AL	A2AG50
-1.869313477	-3.412928399	-1.907277492	0.10033973	0.375123804	-5.37417211	No Change	ip.B.minus.AL-ip.B.plus.AL	A2AGL3
-0.807855244	-0.44484115	-1.891648866	0.102628389	0.379127204	-5.396049172	No Change	ip.B.minus.AL-ip.B.plus.AL	A2AGT5
